branch,order_id,order_dt,category,menu,sweet_level,qty,price,cost,trans_type,payment,gender,membership,time_of_day,is_holiday,is_weekend,order_wait_time,order_wait_time_cat
alpha,alpha22-018974,2022-06-01 07:03:00,coffee,Americano,0.75,2,45,25,to go,mobile,F,True,morning,False,False,3.4675977362108874,short
alpha,alpha22-018975,2022-06-01 07:10:00,bakery,Sandwich,,2,80,30,eat in,mobile,M,True,morning,False,False,4.203242959410747,short
alpha,alpha22-018976,2022-06-01 07:44:00,coffee,Mocha,0.25,2,70,35,to go,mobile,M,False,morning,False,False,3.1736417422945777,short
alpha,alpha22-018977,2022-06-01 07:44:00,tea,Black Tea,0.5,1,45,20,eat in,cash,F,False,morning,False,False,4.236305168785752,short
alpha,alpha22-018978,2022-06-01 07:52:00,coffee,Americano,0.75,3,45,25,to go,credit card,M,False,morning,False,False,6.927073976655763,moderate
alpha,alpha22-018979,2022-06-01 07:57:00,bakery,Sandwich,,1,80,30,to go,mobile,M,False,morning,False,False,4.703504301373776,short
alpha,alpha22-018979,2022-06-01 07:57:00,coffee,Cappuccino,1.0,1,75,40,to go,mobile,M,False,morning,False,False,6.203504301373776,moderate
alpha,alpha22-018980,2022-06-01 08:24:00,coffee,Americano,0.5,1,45,25,eat in,credit card,F,False,morning,False,False,4.7666732088389665,short
alpha,alpha22-018981,2022-06-01 08:45:00,coffee,Black Coffee,0.5,2,45,20,to go,credit card,M,True,morning,False,False,4.010997301487966,short
alpha,alpha22-018982,2022-06-01 08:49:00,coffee,Americano,0.5,1,45,25,eat in,mobile,M,False,morning,False,False,4.9478322877205185,short
alpha,alpha22-018983,2022-06-01 08:53:00,coffee,Iced Coffee,0.5,3,60,30,to go,credit card,M,False,morning,False,False,5.3406229905476525,moderate
alpha,alpha22-018984,2022-06-01 08:54:00,bakery,Cookies,,1,85,45,eat in,credit card,M,False,morning,False,False,2.688351413784733,short
alpha,alpha22-018985,2022-06-01 08:57:00,tea,Thai Tea,0.25,2,70,30,eat in,credit card,F,False,morning,False,False,4.693996504310328,short
