branch,order_id,order_dt,category,menu,sweet_level,qty,price,cost,trans_type,payment,gender,membership,time_of_day,is_holiday,is_weekend,order_wait_time,order_wait_time_cat
alpha,alpha22-011872,2022-04-01 06:21:00,coffee,Classic Black Cold Brew,1.0,2,100,35,eat in,credit card,F,False,morning,False,False,4.2422407318256825,short
alpha,alpha22-011873,2022-04-01 06:50:00,coffee,Cappuccino,0.5,1,75,40,to go,mobile,F,False,morning,False,False,4.511727863584985,short
alpha,alpha22-011874,2022-04-01 06:57:00,smoothie,Mango Smoothie,1.0,4,90,45,to go,credit card,F,False,morning,False,False,5.788262951459391,moderate
alpha,alpha22-011875,2022-04-01 07:19:00,smoothie,Watermelon Smoothie,0.5,1,75,40,to go,credit card,M,True,morning,False,False,3.5686778604408103,short
alpha,alpha22-011876,2022-04-01 07:22:00,tea,Green Tea,0.0,1,65,30,to go,mobile,M,False,morning,False,False,3.4856798040303634,short
alpha,alpha22-011877,2022-04-01 07:26:00,coffee,Classic Black Cold Brew,0.0,1,100,35,delivery,credit card,M,False,morning,False,False,1.0257416112089013,very short
alpha,alpha22-011878,2022-04-01 07:26:00,coffee,Latte,0.5,1,70,35,eat in,gift card,F,True,morning,False,False,1.4214231253414567,very short
alpha,alpha22-011879,2022-04-01 07:35:00,coffee,Americano,0.5,2,45,25,delivery,credit card,M,True,morning,False,False,3.3608781341212746,short
alpha,alpha22-011879,2022-04-01 07:35:00,bakery,Sandwich,,1,80,30,delivery,credit card,M,True,morning,False,False,4.860878134121275,short
alpha,alpha22-011880,2022-04-01 07:37:00,coffee,Americano,0.5,3,45,25,delivery,mobile,M,False,morning,False,False,7.660996398971967,moderate
alpha,alpha22-011880,2022-04-01 07:37:00,coffee,Espresso,0.5,1,55,30,delivery,mobile,M,False,morning,False,False,7.660996398971967,moderate
alpha,alpha22-011881,2022-04-01 07:40:00,tea,Thai Tea,0.0,1,70,30,to go,credit card,M,False,morning,False,False,1.5357568463146531,very short
alpha,alpha22-011882,2022-04-01 07:41:00,coffee,Mocha,0.5,2,70,35,eat in,mobile,M,False,morning,False,False,3.393735146976224,short
alpha,alpha22-011882,2022-04-01 07:41:00,bakery,Sandwich,,2,80,30,eat in,mobile,M,False,morning,False,False,4.8937351469762245,short
alpha,alpha22-011883,2022-04-01 07:45:00,coffee,Iced Coffee,0.5,2,60,30,eat in,gift card,F,False,morning,False,False,4.137328586306558,short
alpha,alpha22-011884,2022-04-01 07:52:00,coffee,Espresso,0.0,4,55,30,to go,cash,M,True,morning,False,False,7.869768541322055,moderate
alpha,alpha22-011885,2022-04-01 07:54:00,bakery,Croissant,,1,85,50,to go,credit card,M,False,morning,False,False,2.3770623806143076,short
alpha,alpha22-011886,2022-04-01 07:56:00,coffee,Black Coffee,0.75,1,45,20,to go,credit card,F,False,morning,False,False,6.936923779259233,moderate
alpha,alpha22-011887,2022-04-01 08:01:00,tea,Bubble Tea,0.75,1,70,30,to go,mobile,M,True,morning,False,False,2.4318962558825725,short
alpha,alpha22-011888,2022-04-01 08:04:00,bakery,Croissant,,1,85,50,to go,gift card,M,False,morning,False,False,2.891668987558333,short
alpha,alpha22-011889,2022-04-01 08:06:00,bakery,Muffin,,1,60,30,to go,mobile,M,False,morning,False,False,4.025697608318292,short
alpha,alpha22-011890,2022-04-01 08:16:00,bakery,Muffin,,1,60,30,to go,mobile,F,True,morning,False,False,2.2028099715589997,short
alpha,alpha22-011890,2022-04-01 08:16:00,tea,Bubble Tea,1.0,1,70,30,to go,mobile,F,True,morning,False,False,3.7028099715589997,short
alpha,alpha22-011891,2022-04-01 08:19:00,bakery,Sandwich,,3,80,30,to go,credit card,M,False,morning,False,False,4.606550180015692,short
alpha,alpha22-011892,2022-04-01 08:29:00,smoothie,Mango Smoothie,0.5,1,90,45,delivery,credit card,F,False,morning,False,False,3.5641397925905753,short
alpha,alpha22-011892,2022-04-01 08:29:00,coffee,Black Coffee,0.5,3,45,20,delivery,credit card,F,False,morning,False,False,6.564139792590575,moderate
alpha,alpha22-011893,2022-04-01 08:32:00,coffee,Espresso,0.25,1,55,30,eat in,mobile,M,False,morning,False,False,2.7985195895841244,short
alpha,alpha22-011894,2022-04-01 08:35:00,tea,Green Tea,0.75,1,65,30,to go,credit card,M,False,morning,False,False,3.8064867924030494,short
alpha,alpha22-011895,2022-04-01 08:37:00,tea,Thai Tea,0.75,1,70,30,eat in,mobile,M,False,morning,False,False,4.77346810683088,short
alpha,alpha22-011895,2022-04-01 08:37:00,bakery,Sandwich,,1,80,30,eat in,mobile,M,False,morning,False,False,6.27346810683088,moderate
alpha,alpha22-011896,2022-04-01 08:37:00,smoothie,Mango Smoothie,1.0,1,90,45,eat in,credit card,M,True,morning,False,False,4.829666054184431,short
alpha,alpha22-011897,2022-04-01 08:41:00,smoothie,Watermelon Smoothie,1.0,1,75,40,to go,mobile,M,True,morning,False,False,6.255832003223665,moderate
alpha,alpha22-011898,2022-04-01 08:43:00,bakery,Donut,,1,40,15,to go,mobile,M,True,morning,False,False,1.948624839231933,very short
alpha,alpha22-011899,2022-04-01 08:58:00,smoothie,Kiwi Smoothie,0.5,1,90,50,eat in,mobile,M,False,morning,False,False,4.149783562399073,short
alpha,alpha22-011900,2022-04-01 09:05:00,tea,Thai Tea,0.5,1,70,30,delivery,mobile,F,False,morning,False,False,5.717002677375896,moderate
alpha,alpha22-011900,2022-04-01 09:05:00,bakery,Sandwich,,1,80,30,delivery,mobile,F,False,morning,False,False,7.217002677375896,moderate
alpha,alpha22-011901,2022-04-01 09:08:00,bakery,Croissant,,2,85,50,eat in,credit card,M,False,morning,False,False,2.6089450399373257,short
alpha,alpha22-011902,2022-04-01 09:08:00,coffee,Americano,0.5,2,45,25,delivery,credit card,M,False,morning,False,False,2.0249431144051604,short
alpha,alpha22-011902,2022-04-01 09:08:00,coffee,Mocha,0.75,1,70,35,delivery,credit card,M,False,morning,False,False,3.5249431144051604,short
alpha,alpha22-011903,2022-04-01 09:08:00,smoothie,Kiwi Smoothie,0.5,1,90,50,to go,credit card,M,False,morning,False,False,4.470375383931678,short
alpha,alpha22-011904,2022-04-01 09:12:00,smoothie,Mango Smoothie,1.0,1,90,45,eat in,mobile,F,False,morning,False,False,4.965215471456814,short
alpha,alpha22-011905,2022-04-01 09:17:00,bakery,Sandwich,,1,80,30,delivery,mobile,F,False,morning,False,False,3.6616424351782833,short
alpha,alpha22-011905,2022-04-01 09:17:00,coffee,Americano,0.5,3,45,25,delivery,mobile,F,False,morning,False,False,6.661642435178283,moderate
alpha,alpha22-011906,2022-04-01 09:17:00,coffee,Mocha Cold Brew,0.25,1,165,55,eat in,credit card,F,False,morning,False,False,2.0342235201224312,short
alpha,alpha22-011907,2022-04-01 09:18:00,coffee,Americano,0.5,3,45,25,to go,credit card,M,False,morning,False,False,4.903726249222172,short
alpha,alpha22-011908,2022-04-01 09:20:00,bakery,Croissant,,1,85,50,delivery,mobile,M,False,morning,False,False,4.637146347901932,short
alpha,alpha22-011908,2022-04-01 09:20:00,tea,Thai Tea,0.25,1,70,30,delivery,mobile,M,False,morning,False,False,6.137146347901932,moderate
alpha,alpha22-011909,2022-04-01 09:24:00,smoothie,Kiwi Smoothie,0.75,1,90,50,eat in,credit card,M,True,morning,False,False,3.5839354303863376,short
alpha,alpha22-011910,2022-04-01 09:36:00,coffee,Mocha,0.5,1,70,35,to go,mobile,M,False,morning,False,False,1.845467050413672,very short
alpha,alpha22-011911,2022-04-01 10:10:00,tea,Bubble Tea,0.5,1,70,30,to go,credit card,M,True,morning,False,False,4.033523693740577,short
