branch,order_id,order_dt,category,menu,sweet_level,qty,price,cost,trans_type,payment,gender,membership,time_of_day,is_holiday,is_weekend,order_wait_time,order_wait_time_cat
alpha,alpha22-004034,2022-02-01 06:30:00,coffee,Black Coffee,1.0,1,45,20,eat in,credit card,F,True,morning,False,False,3.4787232951323266,short
alpha,alpha22-004035,2022-02-01 06:42:00,bakery,Croissant,,1,85,50,eat in,mobile,F,False,morning,False,False,4.807804943517935,short
alpha,alpha22-004036,2022-02-01 06:54:00,coffee,Americano,1.0,2,45,25,to go,credit card,F,False,morning,False,False,2.0494953126639954,short
alpha,alpha22-004036,2022-02-01 06:54:00,bakery,Sandwich,,2,80,30,to go,credit card,F,False,morning,False,False,3.5494953126639954,short
alpha,alpha22-004037,2022-02-01 07:06:00,coffee,Latte,0.0,1,70,35,eat in,credit card,M,False,morning,False,False,3.266708466416537,short
alpha,alpha22-004038,2022-02-01 07:16:00,coffee,Black Coffee,0.5,1,45,20,eat in,cash,M,False,morning,False,False,3.282906718953846,short
alpha,alpha22-004039,2022-02-01 07:23:00,coffee,Black Coffee,0.75,1,45,20,delivery,credit card,M,False,morning,False,False,3.762388051503492,short
alpha,alpha22-004039,2022-02-01 07:23:00,bakery,Croissant,,1,85,50,delivery,credit card,M,False,morning,False,False,5.262388051503493,moderate
alpha,alpha22-004040,2022-02-01 07:26:00,coffee,Black Coffee,0.75,2,45,20,eat in,mobile,M,True,morning,False,False,2.2288604913604675,short
alpha,alpha22-004041,2022-02-01 07:35:00,bakery,Croissant,,1,85,50,eat in,credit card,M,True,morning,False,False,3.884468185850094,short
alpha,alpha22-004042,2022-02-01 07:42:00,tea,Green Tea,0.25,9,65,30,to go,mobile,M,False,morning,False,False,12.771721824587068,very long
alpha,alpha22-004043,2022-02-01 07:44:00,coffee,Mocha,1.0,1,70,35,eat in,gift card,F,True,morning,False,False,2.725054152958923,short
alpha,alpha22-004043,2022-02-01 07:44:00,bakery,Croissant,,1,85,50,eat in,gift card,F,True,morning,False,False,4.225054152958923,short
alpha,alpha22-004044,2022-02-01 07:44:00,coffee,Americano,0.25,1,45,25,eat in,mobile,M,False,morning,False,False,4.409885122602543,short
alpha,alpha22-004045,2022-02-01 07:46:00,coffee,Mocha,0.0,2,70,35,eat in,mobile,M,False,morning,False,False,5.949132840980568,moderate
alpha,alpha22-004046,2022-02-01 07:54:00,smoothie,Strawberry Smoothie,0.5,2,85,45,eat in,mobile,F,False,morning,False,False,4.4583313579503185,short
alpha,alpha22-004047,2022-02-01 07:54:00,bakery,Muffin,,1,60,30,eat in,mobile,F,False,morning,False,False,1.3642119948945646,very short
alpha,alpha22-004048,2022-02-01 08:01:00,smoothie,Kiwi Smoothie,0.0,2,90,50,to go,credit card,M,True,morning,False,False,5.776502468695514,moderate
alpha,alpha22-004049,2022-02-01 08:02:00,bakery,Donut,,1,40,15,eat in,credit card,F,False,morning,False,False,3.6440685155965884,short
alpha,alpha22-004049,2022-02-01 08:02:00,bakery,Muffin,,1,60,30,eat in,credit card,F,False,morning,False,False,5.144068515596588,moderate
alpha,alpha22-004050,2022-02-01 08:04:00,coffee,Iced Coffee,0.0,1,60,30,eat in,mobile,M,False,morning,False,False,5.4866421736714255,moderate
alpha,alpha22-004051,2022-02-01 08:04:00,coffee,Cappuccino,0.0,2,75,40,eat in,mobile,F,False,morning,False,False,4.705362199654326,short
alpha,alpha22-004052,2022-02-01 08:05:00,tea,Green Tea,1.0,1,65,30,to go,gift card,F,False,morning,False,False,4.54240059877528,short
alpha,alpha22-004053,2022-02-01 08:09:00,tea,Green Tea,0.5,2,65,30,eat in,mobile,M,False,morning,False,False,3.9337237280659743,short
alpha,alpha22-004054,2022-02-01 08:09:00,bakery,Muffin,,1,60,30,eat in,credit card,M,False,morning,False,False,3.5772089863644463,short
alpha,alpha22-004055,2022-02-01 08:15:00,tea,Green Tea,1.0,2,65,30,eat in,mobile,M,False,morning,False,False,2.879211343644812,short
alpha,alpha22-004055,2022-02-01 08:15:00,bakery,Donut,,2,40,15,eat in,mobile,M,False,morning,False,False,4.379211343644812,short
alpha,alpha22-004056,2022-02-01 08:20:00,coffee,Mocha,0.5,1,70,35,to go,cash,M,False,morning,False,False,3.762394204197287,short
alpha,alpha22-004057,2022-02-01 08:28:00,bakery,Sandwich,,2,80,30,eat in,credit card,M,False,morning,False,False,3.35216387221665,short
alpha,alpha22-004057,2022-02-01 08:28:00,coffee,Black Coffee,0.25,2,45,20,eat in,credit card,M,False,morning,False,False,4.85216387221665,short
alpha,alpha22-004058,2022-02-01 08:31:00,bakery,Donut,,1,40,15,eat in,mobile,F,False,morning,False,False,2.6520835481822758,short
alpha,alpha22-004059,2022-02-01 08:34:00,coffee,Mocha,0.75,2,70,35,eat in,credit card,M,True,morning,False,False,2.60365774176485,short
alpha,alpha22-004060,2022-02-01 08:43:00,coffee,Latte,0.5,1,70,35,eat in,mobile,M,True,morning,False,False,6.847602756370799,moderate
alpha,alpha22-004061,2022-02-01 08:52:00,bakery,Croissant,,2,85,50,eat in,credit card,M,False,morning,False,False,2.5736986587990742,short
alpha,alpha22-004061,2022-02-01 08:52:00,bakery,Donut,,2,40,15,eat in,credit card,M,False,morning,False,False,4.073698658799074,short
alpha,alpha22-004062,2022-02-01 08:55:00,bakery,Croissant,,1,85,50,delivery,credit card,F,False,morning,False,False,3.7251320963550834,short
alpha,alpha22-004062,2022-02-01 08:55:00,bakery,Sandwich,,2,80,30,delivery,credit card,F,False,morning,False,False,5.225132096355083,moderate
