branch,order_id,order_dt,category,menu,sweet_level,qty,price,cost,trans_type,payment,gender,membership,time_of_day,is_holiday,is_weekend,order_wait_time,order_wait_time_cat
alpha,alpha22-000001,2022-01-01 08:11:00,coffee,Americano,0.25,1,45,25,to go,mobile,F,False,morning,True,True,3.781357190165073,short
alpha,alpha22-000002,2022-01-01 09:13:00,coffee,Classic Black Cold Brew,0.25,2,100,35,to go,credit card,M,True,morning,True,True,5.108106385737009,moderate
alpha,alpha22-000003,2022-01-01 09:18:00,coffee,Iced Coffee,0.75,2,60,30,eat in,mobile,F,True,morning,True,True,2.9434511838319457,short
alpha,alpha22-000004,2022-01-01 09:34:00,bakery,Sandwich,,3,80,30,to go,credit card,M,False,morning,True,True,5.160012716418247,moderate
alpha,alpha22-000005,2022-01-01 10:00:00,coffee,Iced Coffee,1.0,2,60,30,eat in,credit card,F,True,morning,True,True,4.44825410235111,short
alpha,alpha22-000027,2022-01-02 08:43:00,coffee,Cappuccino,0.75,1,75,40,eat in,mobile,F,False,morning,False,True,2.743602112805698,short
alpha,alpha22-000028,2022-01-02 08:59:00,bakery,Sandwich,,1,80,30,to go,credit card,M,True,morning,False,True,2.488960915027002,short
alpha,alpha22-000029,2022-01-02 09:19:00,tea,Green Tea,0.5,2,65,30,eat in,credit card,M,False,morning,False,True,5.907365425520648,moderate
alpha,alpha22-000029,2022-01-02 09:19:00,bakery,Croissant,,2,85,50,eat in,credit card,M,False,morning,False,True,7.407365425520648,moderate
alpha,alpha22-000030,2022-01-02 09:24:00,coffee,Black Coffee,0.5,1,45,20,to go,mobile,M,False,morning,False,True,5.2178110425271225,moderate
alpha,alpha22-000031,2022-01-02 10:42:00,tea,Thai Tea,1.0,1,70,30,eat in,mobile,F,True,morning,False,True,1.763279365059684,very short
alpha,alpha22-000043,2022-01-03 07:55:00,bakery,Sandwich,,1,80,30,to go,mobile,M,False,morning,True,False,3.6659674459716185,short
alpha,alpha22-000044,2022-01-03 08:00:00,bakery,Croissant,,1,85,50,to go,credit card,M,True,morning,True,False,5.1134135901469335,moderate
alpha,alpha22-000045,2022-01-03 08:16:00,coffee,Mocha,1.0,1,70,35,to go,credit card,F,False,morning,True,False,5.536071076570807,moderate
alpha,alpha22-000046,2022-01-03 08:19:00,bakery,Croissant,,1,85,50,eat in,mobile,F,False,morning,True,False,1.482183852526568,very short
alpha,alpha22-000047,2022-01-03 08:27:00,coffee,Iced Coffee,0.5,1,60,30,to go,credit card,M,False,morning,True,False,4.707430943587688,short
alpha,alpha22-000048,2022-01-03 08:37:00,bakery,Sandwich,,2,80,30,to go,mobile,M,False,morning,True,False,6.519488710013341,moderate
alpha,alpha22-000049,2022-01-03 08:49:00,tea,Yuzu Tea,0.5,1,70,30,delivery,credit card,F,False,morning,True,False,5.493119044684961,moderate
alpha,alpha22-000049,2022-01-03 08:49:00,smoothie,Mango Smoothie,0.5,1,90,45,delivery,credit card,F,False,morning,True,False,6.993119044684961,moderate
alpha,alpha22-000050,2022-01-03 08:51:00,coffee,Black Coffee,1.0,2,45,20,delivery,mobile,M,True,morning,True,False,5.906077007803399,moderate
alpha,alpha22-000050,2022-01-03 08:51:00,tea,Yuzu Tea,0.25,1,70,30,delivery,mobile,M,True,morning,True,False,7.406077007803399,moderate
