menu_id,category,menu,menu_th,menu_cn,menu_jp,description,description_th,price,cost,calories,ingredient,rating,reviewers
C6,coffee,Americano,อเมริกาโน,美式咖啡,アメリカーノ,"Rich espresso diluted with hot water, offering a smooth, bold coffee experience perfect for any time of day.",เอสเพรสโซเข้มข้นเจือจางด้วยน้ำร้อน มอบประสบการณ์กาแฟที่นุ่มนวลและเข้มข้น เหมาะสำหรับทุกช่วงเวลาในวัน,45,13,15,"Espresso, Hot Water",4.1,343.0
C7,coffee,Cappuccino,คาปูชิโน่,卡布奇诺,カプチーノ,"Rich espresso topped with velvety steamed milk and a light dusting of cocoa, perfect for a cozy coffee break.",เอสเพรสโซเข้มข้นที่มีฟองนมเนียนนุ่มและโรยด้วยผงโกโก้เบาๆ เหมาะสำหรับการพักดื่มกาแฟอย่างอบอุ่น,75,26,120,"Espresso, Steamed milk, Milk foam",3.4,919.0
C8,coffee,Espresso,เอสเพรสโซ่,浓缩咖啡,エスプレッソ,"Rich, bold espresso brewed from premium beans, delivering a robust flavor and energizing kick in every shot.",เอสเพรสโซ่เข้มข้นและกลมกล่อมที่ชงจากเมล็ดกาแฟคุณภาพสูง มอบรสชาติที่เข้มข้นและพลังงานในทุกๆ ช็อต,55,19,1 calorie,"Espresso Beans, Water",4.9,958.0
C9,coffee,Mocha,มอคค่า,摩卡,モカ,"Rich espresso blended with steamed milk and velvety chocolate, topped with whipped cream for a delightful treat.",เอสเพรสโซเข้มข้นผสมกับนมฟองและช็อกโกแลตเนื้อเนียน โรยหน้าด้วยวิปครีมเพื่อความอร่อยที่น่าพอใจ,70,28,350,"Espresso, Steamed milk, Chocolate syrup, Whipped cream",3.4,829.0
C10,coffee,Latte,ลาเต้,拿铁,ラテ,"Rich espresso blended with steamed milk, topped with velvety foam for a creamy, comforting experience. Perfect for any time!",เอสเพรสโซเข้มข้นผสมกับนมที่ตีฟอง ท็อปด้วยฟองนุ่ม ๆ เพื่อประสบการณ์ที่ครีมมี่และสบาย เหมาะสำหรับทุกเวลา!,70,28,150,"Espresso, Steamed Milk, Milk Foam",4.9,731.0
C11,coffee,Iced Latte,ลาเต้เย็น,冰拿铁,アイスラテ,"Chilled espresso blended with creamy milk and ice, topped with a hint of sweetness for a refreshing pick-me-up.",เอสเพรสโซเย็นผสมกับนมครีมและน้ำแข็ง โรยด้วยความหวานเล็กน้อยเพื่อความสดชื่นในการกระตุ้นพลังงาน,60,18,120 calories,"Iced Coffee, Milk, Ice, Sweetener",3.3,563.0
C12,coffee,Iced Americano,อเมริกาโน่เย็น,冰美式咖啡,アイスアメリカーノ,"Refreshing blend of rich espresso and cold water, served over ice for a bold, invigorating coffee experience.",การผสมผสานที่สดชื่นของเอสเพรสโซเข้มข้นและน้ำเย็น เสิร์ฟบนก้อนน้ำแข็งเพื่อประสบการณ์กาแฟที่กล้าหาญและกระปรี้กระเปร่า,45,13,5,"Iced Americano,Espresso,Water,Ice",3.3,546.0
C13,coffee,Nitro Flat White,ไนโตรแฟลตไวท์,氮气平白咖啡,ニトロフラットホワイト,"Smooth, creamy espresso infused with nitrogen for a velvety texture and rich flavor, served cold for a refreshing twist.",เอสเพรสโซ่เนียนนุ่ม ครีมมี่ ผสมไนโตรเจนเพื่อให้มีเนื้อสัมผัสนุ่มละมุนและรสชาติอันเข้มข้น เสิร์ฟเย็นเพื่อความสดชื่นที่แตกต่าง,155,62,120,"Nitro Cold Brew, Milk, Sugar, Vanilla Syrup",3.2,984.0
C14,coffee,Mocha Cold Brew,มอคค่าโคลด์บรูว์,摩卡冷萃咖啡,モカコールドブリュー,"Rich cold brew coffee blended with velvety chocolate and a hint of cream, served over ice for a refreshing treat.",กาแฟเย็นเข้มข้นผสมกับช็อกโกแลตนุ่มละมุนและครีมเล็กน้อย เสิร์ฟบนน้ำแข็งเพื่อความสดชื่น,165,66,150 calories,"Mocha Cold Brew,Cold Brew Coffee,Chocolate Syrup,Milk,Whipped Cream",4.6,1124.0
C99,coffee,Espresso Con Panna,เอสเพรสโซ่คอนปานนา,意式浓缩咖啡加奶油,エスプレッソ・コン・パンナ,"Espresso Con Panna: Rich espresso topped with a dollop of creamy whipped cream for a delightful, indulgent treat.",เอสเพรสโซ คอน พันนา: เอสเพรสโซเข้มข้นที่มีวิปครีมเนื้อครีมฟูอยู่ด้านบน เป็นของหวานที่น่าพอใจและหรูหรา,110,45,80 calories,"Espresso, Whipped Cream, Sugar",,
