branch,order_id,order_dt,category,menu,sweet_level,qty,price,cost,trans_type,payment,gender,membership,time_of_day,is_holiday,is_weekend,order_wait_time,order_wait_time_cat
alpha,alpha22-015294,2022-05-01 08:40:00,coffee,Americano,0.75,1,45,25,eat in,cash,F,False,morning,True,True,4.2142877135332935,short
alpha,alpha22-015294,2022-05-01 08:40:00,bakery,Croissant,,1,85,50,eat in,cash,F,False,morning,True,True,5.7142877135332935,moderate
alpha,alpha22-015295,2022-05-01 10:32:00,coffee,Mocha,0.5,1,70,35,to go,cash,F,False,morning,True,True,5.65380623949463,moderate
alpha,alpha22-015296,2022-05-01 10:50:00,coffee,Iced Coffee,1.0,2,60,30,eat in,mobile,M,True,morning,True,True,4.36246325351951,short
alpha,alpha22-015302,2022-05-02 07:28:00,coffee,Americano,0.5,1,45,25,to go,mobile,M,False,morning,True,False,4.767678502803575,short
alpha,alpha22-015303,2022-05-02 07:32:00,coffee,Black Coffee,0.5,2,45,20,to go,credit card,F,True,morning,True,False,3.699811444381224,short
alpha,alpha22-015303,2022-05-02 07:32:00,bakery,Croissant,,2,85,50,to go,credit card,F,True,morning,True,False,5.199811444381224,moderate
alpha,alpha22-015304,2022-05-02 07:38:00,coffee,Mocha,0.5,1,70,35,eat in,credit card,M,True,morning,True,False,3.5589712930481534,short
alpha,alpha22-015305,2022-05-02 07:41:00,coffee,Iced Coffee,0.75,2,60,30,to go,credit card,M,False,morning,True,False,2.207228863180033,short
alpha,alpha22-015306,2022-05-02 07:56:00,coffee,Iced Coffee,0.5,1,60,30,to go,cash,M,False,morning,True,False,4.616426847375276,short
alpha,alpha22-015307,2022-05-02 08:05:00,coffee,Iced Coffee,0.75,1,60,30,to go,mobile,F,False,morning,True,False,5.195477414544444,moderate
alpha,alpha22-015308,2022-05-02 08:21:00,coffee,Espresso,0.25,3,55,30,delivery,mobile,F,True,morning,True,False,4.4357720422034195,short
alpha,alpha22-015308,2022-05-02 08:21:00,coffee,Americano,1.0,2,45,25,delivery,mobile,F,True,morning,True,False,4.4357720422034195,short
alpha,alpha22-015309,2022-05-02 08:30:00,coffee,Black Coffee,0.5,1,45,20,delivery,cash,F,False,morning,True,False,2.6187641057552016,short
alpha,alpha22-015309,2022-05-02 08:30:00,coffee,Mocha Cold Brew,0.5,3,165,55,delivery,cash,F,False,morning,True,False,5.618764105755202,moderate
alpha,alpha22-015310,2022-05-02 08:42:00,coffee,Latte,0.5,1,70,35,eat in,cash,F,False,morning,True,False,2.4947839834680754,short
alpha,alpha22-015311,2022-05-02 08:44:00,tea,Thai Tea,0.75,1,70,30,eat in,cash,M,False,morning,True,False,5.381272053368788,moderate
alpha,alpha22-015311,2022-05-02 08:44:00,bakery,Croissant,,1,85,50,eat in,cash,M,False,morning,True,False,6.881272053368788,moderate
alpha,alpha22-015312,2022-05-02 08:56:00,coffee,Espresso,0.75,2,55,30,eat in,mobile,M,True,morning,True,False,3.980723102705142,short
alpha,alpha22-015313,2022-05-02 09:09:00,bakery,Cookies,,1,85,45,to go,cash,F,False,morning,True,False,3.54602009579777,short
alpha,alpha22-015313,2022-05-02 09:09:00,coffee,Iced Coffee,0.5,1,60,30,to go,cash,F,False,morning,True,False,5.04602009579777,moderate
alpha,alpha22-015314,2022-05-02 09:18:00,tea,Black Tea,0.5,3,45,20,delivery,credit card,F,False,morning,True,False,7.9736115263308935,moderate
alpha,alpha22-015315,2022-05-02 09:31:00,coffee,Americano,0.0,3,45,25,to go,cash,F,False,morning,True,False,5.172435458972839,moderate
alpha,alpha22-015316,2022-05-02 09:33:00,coffee,Mocha Cold Brew,0.75,1,165,55,eat in,cash,M,False,morning,True,False,1.9121645036229653,very short
alpha,alpha22-015317,2022-05-02 09:34:00,coffee,Americano,0.75,1,45,25,eat in,credit card,M,False,morning,True,False,4.086429296518844,short
alpha,alpha22-015318,2022-05-02 09:39:00,coffee,Black Coffee,1.0,2,45,20,eat in,credit card,F,False,morning,True,False,3.910705482421954,short
alpha,alpha22-015319,2022-05-02 09:48:00,coffee,Americano,0.75,3,45,25,to go,mobile,M,False,morning,True,False,4.92231446187414,short
alpha,alpha22-015320,2022-05-02 09:54:00,smoothie,Strawberry Smoothie,1.0,1,85,45,to go,credit card,M,False,morning,True,False,2.9496234833825223,short
alpha,alpha22-015321,2022-05-02 10:02:00,coffee,Americano,0.75,1,45,25,to go,credit card,M,True,morning,True,False,4.121591540350487,short
alpha,alpha22-015321,2022-05-02 10:02:00,bakery,Sandwich,,1,80,30,to go,credit card,M,True,morning,True,False,5.621591540350487,moderate
alpha,alpha22-015322,2022-05-02 10:04:00,coffee,Americano,0.0,1,45,25,eat in,credit card,M,True,morning,True,False,2.918221629797145,short
alpha,alpha22-015323,2022-05-02 10:18:00,coffee,Black Coffee,1.0,1,45,20,delivery,credit card,M,True,morning,True,False,4.59631843549903,short
alpha,alpha22-015323,2022-05-02 10:18:00,tea,Green Tea,0.75,1,65,30,delivery,credit card,M,True,morning,True,False,6.09631843549903,moderate
alpha,alpha22-015324,2022-05-02 10:20:00,tea,Bubble Tea,0.75,1,70,30,eat in,credit card,F,False,morning,True,False,4.321155419733331,short
alpha,alpha22-015325,2022-05-02 10:21:00,tea,Thai Tea,0.0,1,70,30,to go,credit card,F,False,morning,True,False,4.591344590583687,short
alpha,alpha22-015326,2022-05-02 10:23:00,tea,Bubble Tea,0.75,2,70,30,eat in,credit card,M,False,morning,True,False,1.8101890448701679,very short
alpha,alpha22-015327,2022-05-02 10:23:00,smoothie,Watermelon Smoothie,0.5,1,75,40,to go,credit card,F,False,morning,True,False,3.287679836040292,short
alpha,alpha22-015328,2022-05-02 10:32:00,coffee,Iced Coffee,0.75,1,60,30,eat in,mobile,M,False,morning,True,False,5.0265707188621365,moderate
alpha,alpha22-015329,2022-05-02 10:36:00,coffee,Iced Coffee,0.5,1,60,30,to go,cash,F,False,morning,True,False,3.350861930128388,short
alpha,alpha22-015330,2022-05-02 10:37:00,bakery,Croissant,,1,85,50,to go,mobile,M,False,morning,True,False,2.0049604006517705,short
alpha,alpha22-015330,2022-05-02 10:37:00,coffee,Americano,1.0,1,45,25,to go,mobile,M,False,morning,True,False,3.5049604006517705,short
alpha,alpha22-015331,2022-05-02 10:37:00,tea,Green Tea,1.0,1,65,30,to go,credit card,M,False,morning,True,False,2.880729044405001,short
alpha,alpha22-015332,2022-05-02 10:41:00,bakery,Sandwich,,1,80,30,to go,mobile,M,False,morning,True,False,2.9405630007874453,short
alpha,alpha22-015333,2022-05-02 10:44:00,bakery,Croissant,,1,85,50,to go,credit card,F,False,morning,True,False,4.453903075263652,short
alpha,alpha22-015333,2022-05-02 10:44:00,tea,Thai Tea,1.0,1,70,30,to go,credit card,F,False,morning,True,False,5.953903075263652,moderate
alpha,alpha22-015334,2022-05-02 10:58:00,coffee,Iced Coffee,0.75,1,60,30,to go,credit card,M,False,morning,True,False,3.4785152942653284,short
alpha,alpha22-015335,2022-05-02 10:59:00,coffee,Iced Coffee,0.75,4,60,30,to go,credit card,M,True,morning,True,False,6.855321306431028,moderate
alpha,alpha22-015422,2022-05-03 06:41:00,bakery,Sandwich,,1,80,30,eat in,cash,M,False,morning,False,False,4.98785527193252,short
alpha,alpha22-015422,2022-05-03 06:41:00,bakery,Muffin,,1,60,30,eat in,cash,M,False,morning,False,False,6.48785527193252,moderate
alpha,alpha22-015423,2022-05-03 06:53:00,coffee,Iced Coffee,0.5,1,60,30,to go,mobile,F,True,morning,False,False,3.9617251890346097,short
alpha,alpha22-015424,2022-05-03 06:57:00,coffee,Americano,0.5,1,45,25,to go,mobile,M,False,morning,False,False,4.628677894387328,short
alpha,alpha22-015425,2022-05-03 07:09:00,coffee,Cappuccino,0.5,1,75,40,to go,mobile,M,False,morning,False,False,4.096878733153922,short
alpha,alpha22-015426,2022-05-03 07:19:00,coffee,Classic Black Cold Brew,0.25,2,100,35,eat in,credit card,F,True,morning,False,False,4.129958110015135,short
alpha,alpha22-015427,2022-05-03 07:21:00,coffee,Iced Coffee,0.5,2,60,30,eat in,credit card,F,False,morning,False,False,4.299838313466003,short
alpha,alpha22-015428,2022-05-03 07:22:00,smoothie,Kiwi Smoothie,0.5,4,90,50,delivery,credit card,M,False,morning,False,False,7.394263702579152,moderate
alpha,alpha22-015428,2022-05-03 07:22:00,bakery,Croissant,,4,85,50,delivery,credit card,M,False,morning,False,False,8.894263702579153,long
alpha,alpha22-015429,2022-05-03 07:25:00,smoothie,Mango Smoothie,0.0,1,90,45,to go,credit card,F,False,morning,False,False,6.589279456954785,moderate
